,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
0,305,PAYMENT,20205.41,C593831204,0.0,0.0,M1249870525,0.0,0.0,0,0
1,280,CASH_IN,155159.68,C941355875,576.0,155735.68,C444198983,0.0,0.0,0,0
2,259,DEBIT,5736.11,C185634007,31203.0,25466.89,C1539585809,4205630.98,4211367.1,0,0
3,226,CASH_OUT,68022.78,C862451131,19857.0,0.0,C990459493,17669.24,85692.02,0,0
4,325,CASH_OUT,69854.9,C1970235741,12272.0,0.0,C733272281,232612.05,302466.95,0,0
5,236,PAYMENT,8245.06,C470804515,0.0,0.0,M71910495,0.0,0.0,0,0
6,10,CASH_OUT,149751.28,C773660526,0.0,0.0,C485801049,224832.45,228045.44,0,0
7,211,CASH_IN,71121.99,C2003735909,2720753.36,2791875.35,C1864226096,4542722.17,4471600.18,0,0
8,331,CASH_IN,133748.98,C1501643916,290.0,134038.98,C1612812852,0.0,0.0,0,0
9,16,CASH_IN,188395.73,C343838252,4201291.69,4389687.42,C2086665808,2241752.36,2053356.63,0,0
10,232,CASH_OUT,2272.66,C1219314920,437749.44,435476.77,C1988959245,372572.33,374844.99,0,0
11,349,CASH_OUT,76119.84,C784000759,165.0,0.0,C988520506,328633.94,404753.78,0,0
12,14,CASH_OUT,37897.89,C682478606,3002.84,0.0,C238707653,103971.65,141869.54,0,0
13,280,CASH_IN,160532.36,C2034252907,6248635.38,6409167.75,C1446074856,2766153.69,3809642.16,0,0
14,307,CASH_IN,41573.87,C776400007,34.0,41607.87,C2053133380,401316.0,359742.13,0,0
15,282,CASH_OUT,407353.35,C115073817,0.0,0.0,C1018298342,1294940.09,1702293.44,0,0
16,11,CASH_IN,271701.76,C1309814309,153827.27,425529.03,C1044059417,0.0,0.0,0,0
17,13,CASH_IN,146080.35,C757224410,7750330.63,7896410.97,C1860965818,2244164.63,2098084.28,0,0
18,347,CASH_OUT,127044.8,C1812247512,24624.0,0.0,C1466455839,0.0,127044.8,0,0
19,372,PAYMENT,8598.78,C1192237060,376.0,0.0,M1470840414,0.0,0.0,0,0
20,370,CASH_IN,341569.76,C236730865,21681.0,363250.76,C1603668688,41169.48,0.0,0,0
21,18,TRANSFER,150326.27,C1769196704,350.0,0.0,C1402987549,925491.4,1075817.67,0,0
22,211,CASH_OUT,102910.14,C1856497890,127.0,0.0,C1677501332,0.0,102910.14,0,0
23,309,CASH_OUT,274680.49,C1387375797,0.0,0.0,C1591163165,350035.81,624716.3,0,0
24,359,TRANSFER,2548155.64,C1267297375,0.0,0.0,C1262869512,15842758.41,18390914.05,0,0
25,371,CASH_IN,153273.98,C971712106,0.0,153273.98,C1251025520,577894.67,424620.68,0,0
26,322,CASH_OUT,214139.43,C1304235769,0.0,0.0,C729336574,540498.67,754638.1,0,0
27,253,PAYMENT,6542.17,C2144980529,0.0,0.0,M526843610,0.0,0.0,0,0
28,307,CASH_OUT,81597.09,C461329061,0.0,0.0,C732849867,172898.51,254495.6,0,0
29,18,CASH_OUT,158264.47,C2111074885,232599.0,74334.53,C1630302309,123703.6,281968.07,0,0
30,14,CASH_OUT,135312.62,C374884657,0.0,0.0,C1601823026,649511.54,784824.16,0,0
31,238,PAYMENT,4675.22,C1294420879,0.0,0.0,M1785880844,0.0,0.0,0,0
32,161,PAYMENT,33014.86,C840773704,10392.0,0.0,M1615749925,0.0,0.0,0,0
33,210,CASH_OUT,122575.33,C813953212,0.0,0.0,C795946708,849791.26,972366.59,0,0
34,394,CASH_IN,25458.25,C2064428042,9348420.14,9373878.39,C2048779354,497307.79,471849.54,0,0
35,15,PAYMENT,1958.01,C306246333,101122.85,99164.84,M1688134942,0.0,0.0,0,0
36,325,CASH_IN,65384.54,C205430656,2133381.05,2198765.59,C781616350,364104.1,298719.56,0,0
37,10,TRANSFER,1850656.76,C355821945,0.0,0.0,C1535481925,3632184.57,6341445.55,0,0
38,139,PAYMENT,17138.88,C565533245,0.0,0.0,M1088887098,0.0,0.0,0,0
39,333,TRANSFER,1148675.95,C1595588820,0.0,0.0,C188634042,3010980.32,4159656.28,0,0
40,159,PAYMENT,8161.66,C2010082268,311346.87,303185.21,M150792795,0.0,0.0,0,0
41,394,CASH_OUT,116285.81,C142415181,96021.0,0.0,C94539560,1184838.68,1301124.49,0,0
42,12,CASH_OUT,572545.91,C602338837,345.0,0.0,C734215386,22489.0,0.0,0,0
43,157,PAYMENT,9519.28,C900468465,0.0,0.0,M5731523,0.0,0.0,0,0
44,329,CASH_OUT,116819.5,C1241027400,0.0,0.0,C1099268642,516494.94,633314.44,0,0
45,232,PAYMENT,15013.65,C687596234,92299.37,77285.72,M26085206,0.0,0.0,0,0
46,212,PAYMENT,17161.89,C195784916,185086.52,167924.64,M1935099301,0.0,0.0,0,0
47,275,CASH_OUT,66283.01,C1711377700,0.0,0.0,C932315592,2369858.24,2436141.25,0,0
48,186,CASH_OUT,148624.67,C117918249,0.0,0.0,C767700150,3801253.33,3949878.0,0,0
49,358,TRANSFER,2550214.63,C614634812,37361.21,0.0,C1714667051,2771990.34,5322204.97,0,0
50,514,CASH_OUT,139023.94,C1092773338,0.0,0.0,C1209355171,3569216.23,3708240.17,0,0
51,374,CASH_OUT,184362.84,C826822896,0.0,0.0,C1161820020,412148.59,596511.44,0,0
52,8,CASH_OUT,154636.36,C914504033,0.0,0.0,C384735911,264559.19,419195.55,0,0
53,279,PAYMENT,6251.29,C2101715930,7539.0,1287.71,M492894590,0.0,0.0,0,0
54,48,PAYMENT,2070.81,C697852282,41032.0,38961.19,M526485753,0.0,0.0,0,0
55,422,PAYMENT,16007.69,C331002736,20880.0,4872.31,M2136884500,0.0,0.0,0,0
56,282,CASH_OUT,107503.29,C1675116411,19544.0,0.0,C761946599,0.0,107503.29,0,0
57,322,CASH_IN,465957.48,C1028650672,3528.0,469485.48,C1120860524,39316.82,0.0,0,0
58,402,CASH_IN,258199.48,C556945999,1866534.16,2124733.64,C1986387904,2120607.43,1862407.95,0,0
59,210,PAYMENT,54997.4,C805343366,95712.03,40714.63,M1541307655,0.0,0.0,0,0
60,278,PAYMENT,56576.98,C1215909888,0.0,0.0,M1802094564,0.0,0.0,0,0
61,527,CASH_OUT,86132.24,C305013063,0.0,0.0,C1868616545,1463135.36,1549267.6,0,0
62,228,CASH_IN,82866.22,C1341630880,2248260.72,2331126.95,C1157934609,465064.72,633204.08,0,0
63,322,PAYMENT,12568.27,C1183615317,0.0,0.0,M1711111875,0.0,0.0,0,0
64,129,CASH_OUT,350185.18,C449639530,0.0,0.0,C811423567,354143.38,704328.56,0,0
65,233,PAYMENT,9281.26,C487526619,2641.0,0.0,M2081746023,0.0,0.0,0,0
66,228,PAYMENT,5783.56,C2024700653,114324.0,108540.44,M1237103504,0.0,0.0,0,0
67,40,PAYMENT,6058.02,C709929401,0.0,0.0,M421870707,0.0,0.0,0,0
68,332,CASH_IN,69949.44,C136785616,2726635.1,2796584.55,C255781013,667345.85,597396.41,0,0
69,155,CASH_OUT,92068.87,C1399525963,149577.28,57508.4,C1580966657,487933.8,580002.68,0,0
70,337,CASH_IN,68356.48,C288800835,6011967.09,6080323.57,C609635410,371694.41,303337.94,0,0
71,177,PAYMENT,10369.5,C1893945074,0.0,0.0,M1228031987,0.0,0.0,0,0
72,378,PAYMENT,9216.72,C434803383,23533.0,14316.28,M1377578355,0.0,0.0,0,0
73,300,CASH_OUT,4260.69,C1756707855,14387.67,10126.98,C470288477,283491.7,287752.38,0,0
74,205,PAYMENT,8925.89,C2146482801,31884.0,22958.11,M321841304,0.0,0.0,0,0
75,358,CASH_IN,173153.13,C314780317,6995412.71,7168565.84,C2008841867,1049907.59,876754.46,0,0
76,164,PAYMENT,32606.4,C1328265478,0.0,0.0,M656243671,0.0,0.0,0,0
77,258,CASH_OUT,31276.33,C1714150206,0.0,0.0,C753325364,1013030.82,1044307.15,0,0
78,371,CASH_OUT,230184.49,C873862164,0.0,0.0,C165583147,4779346.86,5009531.34,0,0
79,334,PAYMENT,13852.57,C749724968,0.0,0.0,M1174483329,0.0,0.0,0,0
80,18,PAYMENT,1477.88,C1649742022,3935.4,2457.52,M123700187,0.0,0.0,0,0
81,355,PAYMENT,20084.63,C1602095627,60252.6,40167.97,M332619725,0.0,0.0,0,0
82,185,PAYMENT,6408.36,C1953344757,24525.0,18116.64,M642709760,0.0,0.0,0,0
83,162,TRANSFER,2240536.62,C2106257951,0.0,0.0,C456754866,10043795.16,12405118.85,0,0
84,347,CASH_OUT,342250.63,C1450819893,100556.0,0.0,C955566454,0.0,342250.63,0,0
85,571,CASH_OUT,285606.94,C1967405254,0.0,0.0,C1684593692,823999.79,1109606.73,0,0
86,303,TRANSFER,8385346.19,C1986382512,0.0,0.0,C449261773,16018892.1,24404238.29,0,0
87,307,TRANSFER,3217740.8,C1541965708,0.0,0.0,C1185983425,4753707.5,7971448.3,0,0
88,277,CASH_IN,27777.77,C1829769988,1491700.6,1519478.36,C1826334428,829520.46,801742.69,0,0
89,202,CASH_OUT,117119.8,C1081277627,0.0,0.0,C1001454848,3385581.98,3502701.78,0,0
90,448,PAYMENT,5707.04,C219334503,557637.0,551929.96,M1159836314,0.0,0.0,0,0
91,160,CASH_OUT,6756.4,C843856598,0.0,0.0,C1321634674,1909699.68,1916456.08,0,0
92,256,CASH_OUT,262034.23,C1126334985,5650.0,0.0,C905800336,0.0,262034.23,0,0
93,208,TRANSFER,333866.25,C663699130,0.0,0.0,C1677943179,571830.39,905696.63,0,0
94,45,CASH_IN,143302.74,C739902994,13125283.71,13268586.45,C637700323,1716694.62,1573391.88,0,0
95,333,CASH_IN,100168.4,C1640694318,1516.0,101684.4,C519516802,32746.11,0.0,0,0
96,401,CASH_IN,44881.91,C1200826456,6298188.73,6343070.64,C10643932,2879104.65,2834222.74,0,0
97,380,PAYMENT,11071.96,C1947103275,125275.76,114203.79,M1828357967,0.0,0.0,0,0
98,19,CASH_OUT,328001.43,C2007878139,0.0,0.0,C17441754,4292196.64,4620198.07,0,0
99,378,PAYMENT,128.08,C1398100190,0.0,0.0,M1729866702,0.0,0.0,0,0
100,281,CASH_OUT,387853.28,C1736317354,0.0,0.0,C1929450187,655067.61,1042920.89,0,0
101,154,CASH_IN,124449.64,C1509627838,7328197.46,7452647.1,C271769990,154652.44,30202.8,0,0
102,160,CASH_IN,16251.02,C821552562,50777.0,67028.02,C1924429394,5876881.31,5860630.3,0,0
103,206,CASH_OUT,68353.14,C1947175298,90509.0,22155.86,C1797524445,21054.12,89407.26,0,0
